180,20,75,70,40,55,500,1
175,30,75,70,38,55,500,1
180,24,70,83,38,47,488,1
241,17,75,65,40,62,500,1
222,15,74,70,35,55,480,1
180,20,74,80,40,55,492,1
240,20,75,88,40,52,553,1
180,20,75,70,40,55,500,1
167,38,72,59,40,61,500,1
163,20,75,70,40,55,500,1
329,41,75,87,28,55,570,2
303,70,75,70,26,56,540,2
180,71,76,90,21,54,479,2
266,73,78,70,20,55,500,2
404,76,75,97,18,58,476,2
348,70,70,70,17,58,445,2
198,78,82,86,21,54,488,2
256,69,75,70,21,56,512,2
180,70,79,79,26,55,533,2
180,68,75,88,27,58,500,2
